"year","month"
2009,1
2009,2
2009,3
2009,4
2009,5
2009,6
2009,7
2009,8
2009,9
2009,10
2009,11
2009,12
2010,1
2010,2
2010,3
2010,4
2010,5
2010,6
2010,7
2010,8
2010,9
2010,10
2010,11
2010,12
2011,1
2011,2
2011,3
2011,4
2011,5
2011,6
2011,7
2011,8
2011,9
2011,10
2011,11
2011,12
2012,1
2012,2
2012,3
2012,4
2012,5
2012,6
2012,7
2012,8
2012,9
2012,10
2012,11
2012,12
2013,1
2013,2
2013,3
2013,4
2013,5
2013,6
2013,7
2013,8
2013,9
2013,10
2013,11
2013,12
2014,1
2014,2
2014,3
2014,4
2014,5
2014,6
2014,7
2014,8
2014,9
2014,10
2014,11
2014,12
2015,1
2015,2
2015,3
2015,4
2015,5
2015,6
2015,7
2015,8
2015,9
2015,10
2015,11
2015,12
2016,1
2016,2
2016,3
2016,4
2016,5
2016,6
2016,7
2016,8
2016,9
2016,10
2016,11
2016,12
2017,1
2017,2
2017,3
2017,4
2017,5
2017,6
2017,7
2017,8
2017,9
2017,10
2017,11
2017,12
2018,1
2018,2
2018,3
2018,4
2018,5
2018,6
2018,7
2018,8
2018,9
2018,10
2018,11
2018,12
2019,1
2019,2
2019,3
2019,4
2019,5
2019,6
2019,7
2019,8
2019,9
2019,10
2019,11
2019,12
