species,fb,wall,orn,shape,volume,genus,family,order,class,phylum
Acanthostigma.sp1.,Pyrenoid,Thin,No,2.236842105,96.39977058,Acanthostigma,Tubeufiaceae,Tubeufiales,Dothideomycetes,Ascomycota
Acrogenospora.carmichaeliana,Pyrenoid,Thick,No,2.142857143,1948.278319,Acrogenospora,Hysteriaceae,Hysteriales,Dothideomycetes,Ascomycota
Actidium.hysterioides,Pyrenoid,Thin,No,6.444444444,57.65313393,Actidium,Mytilinidiaceae,Mytilinidiales,Dothideomycetes,Ascomycota
Alutaceodontia.alutacea,Resupinate,Thin,No,4.242424242,14.9677255,Alutaceodontia,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Amphinema.byssoides,Resupinate,Thick,No,1.8,22.08932335,Amphinema,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Amphisphaerella.dispersella,Pyrenoid,Thick,No,2.666666667,1526.81403,Amphisphaerella,Phlogicylindriaceae,Xylariales,Sordariomycetes,Ascomycota
Amphisphaeria.bertiana,Pyrenoid,Thick,No,2.444444444,174.9474409,Amphisphaeria,Amphisphaeriaceae,Xylariales,Sordariomycetes,Ascomycota
Amylocorticiellum.cremeoisabellinum,Resupinate,Thick,No,1.714285714,57.72676501,Amylocorticiellum,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Amylocorticiellum.subillaqueatum,Resupinate,Thick,No,1.777777778,15.90431281,Amylocorticiellum,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Amylocorticium.cebennence,Resupinate,Thin,No,3,26.83852786,Amylocorticium,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Amylocorticium.pedunculatum,Resupinate,Thin,No,1.384615385,37.33095645,Amylocorticium,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Amylocystis.lapponica,Pileate,Thin,No,2.644067797,53.31243463,Amylocystis,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Amyloporia.sinuosa,Resupinate,Thin,No,3.40625,10.95787518,Amyloporia,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota
Amylostereum.chailletii,Pileate,Thin,No,2.545454545,41.57701527,Amylostereum,Amylostereaceae,Russulales,Agaricomycetes,Basidiomycota
Amyloxenasma.grisellum,Resupinate,Thin,No,2,32.66765486,Amyloxenasma,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Annulohypoxylon.multiforme,Stromatoid,Thin,No,2.105263158,177.2054606,Annulohypoxylon,Xylariaceae,Xylariales,Sordariomycetes,Ascomycota
Antrodia.albobrunnea,Resupinate,Thin,No,3.181818182,11.22579412,Antrodia,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Antrodia.macra,Resupinate,Thin,No,2.520547945,96.26389669,Antrodia,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Antrodia.pulvinascens,Resupinate,Thin,No,2.142857143,52.60351462,Antrodia,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Antrodia.serialis,Pileate,Thin,No,2.454545455,40.09212187,Antrodia,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Antrodia.xantha,Resupinate,Thin,No,3.034482759,7.26571841,Antrodia,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Antrodiella.pallescens,Resupinate,Thin,No,1.894736842,10.20703453,Antrodiella,Phanerochaetaceae,Polyporales,Agaricomycetes,Basidiomycota
Antrodiella.romellii,Resupinate,Thin,No,1.666666667,14.91029326,Antrodiella,Phanerochaetaceae,Polyporales,Agaricomycetes,Basidiomycota
Aphanobasidium.pseudotsugae,Resupinate,Thin,No,1.733333333,71.79030087,Aphanobasidium,Pterulaceae,Agaricales,Agaricomycetes,Basidiomycota
Arachnopeziza.aurata,Discoid,Thin,No,29.51219512,199.6884648,Arachnopeziza,Arachnopezizaceae,Helotiales,Leotiomycetes,Ascomycota
Arachnopeziza.cf.aranea,Discoid,Thin,No,4.8,58.90486225,Arachnopeziza,Arachnopezizaceae,Helotiales,Leotiomycetes,Ascomycota
Arachnopeziza.cornuta,Discoid,Thin,No,4.936170213,50.31339175,Arachnopeziza,Arachnopezizaceae,Helotiales,Leotiomycetes,Ascomycota
Arachnopeziza.joannea,Discoid,Thin,No,4.62962963,71.56940764,Arachnopeziza,Arachnopezizaceae,Helotiales,Leotiomycetes,Ascomycota
Arachnopeziza.sp.nov,Discoid,Thin,No,4.844884488,105.8525181,Arachnopeziza,Arachnopezizaceae,Helotiales,Leotiomycetes,Ascomycota
Arachnopeziza.sp1.,Discoid,Thin,No,4.5,226.1946711,Arachnopeziza,Arachnopezizaceae,Helotiales,Leotiomycetes,Ascomycota
Arachnopeziza.sp3.,Discoid,Thin,No,4.166666667,88.35729338,Arachnopeziza,Arachnopezizaceae,Helotiales,Leotiomycetes,Ascomycota
Armillaria.borealis,Gilled,Thin,No,1.55,152.1708942,Armillaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycota
Arrhenia.epichysium,Gilled,Thin,No,1.764705882,106.3969074,Arrhenia,Tricholomataceae,Agaricales,Agaricomycetes,Basidiomycota
Artomyces.cristatus,Branched,Thin,No,1.071428571,288.633825,Artomyces,Auriscalpiaceae,Russulales,Agaricomycetes,Basidiomycota
Artomyces.pyxidatus,Branched,Thin,Yes,1.615384615,22.29902466,Artomyces,Auriscalpiaceae,Russulales,Agaricomycetes,Basidiomycota
Ascocorticium.anomalum,Resupinate,Thin,No,2.428571429,10.22244797,Ascocorticium,Ascocorticiaceae,Helotiales,Leotiomycetes,Ascomycota
