"datasetID","study","genus","species","woody","provenance.lat","provenance.long","continent","year","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","respvar.simple","Exp_Chilling_Hours","Exp_Utah_Model","Exp_Chill_portions","Field_Chilling_Hours","Field_Utah_Model","Field_Chill_portions","Total_Chilling_Hours","Total_Utah_Model","Total_Chill_portions","datasetstudy","forceday","forcenight","photonight"
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","12",NA,"0","24","daystobudburst","timeonly",20,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",12,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","2",NA,"0","24","daystobudburst","timeonly",0,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",2,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","4",NA,"0","24","daystobudburst","timeonly",90.90909091,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",4,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",52.63157895,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","8",NA,"0","24","daystobudburst","timeonly",32.25806452,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",8,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","10",NA,"0","24","daystobudburst","timeonly",25,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",10,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","12",NA,"0","24","daystobudburst","timeonly",16.94915254,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",12,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","2",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",2,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","4",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",4,NA,24
"anzanello16","exp1","Prunus","salicina","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",0,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
