"captures","time","species","ndvi_ma12","mintemp"
20,1,"DM",-0.172144125,-0.796338071
2,1,"DO",-0.172144125,-0.796338071
0,1,"PB",-0.172144125,-0.796338071
0,1,"PP",-0.172144125,-0.796338071
NA,2,"DM",-0.237363477,-1.334715969
NA,2,"DO",-0.237363477,-1.334715969
NA,2,"PB",-0.237363477,-1.334715969
NA,2,"PP",-0.237363477,-1.334715969
36,3,"DM",-0.212120638,-1.241664623
5,3,"DO",-0.212120638,-1.241664623
0,3,"PB",-0.212120638,-1.241664623
0,3,"PP",-0.212120638,-1.241664623
40,4,"DM",-0.160438125,-1.080481449
3,4,"DO",-0.160438125,-1.080481449
0,4,"PB",-0.160438125,-1.080481449
1,4,"PP",-0.160438125,-1.080481449
29,5,"DM",-0.082677289,-0.424476251
3,5,"DO",-0.082677289,-0.424476251
0,5,"PB",-0.082677289,-0.424476251
7,5,"PP",-0.082677289,-0.424476251
25,6,"DM",-0.036928772,0.065328922
4,6,"DO",-0.036928772,0.065328922
1,6,"PB",-0.036928772,0.065328922
7,6,"PP",-0.036928772,0.065328922
29,7,"DM",-0.004073151,0.822795704
2,7,"DO",-0.004073151,0.822795704
2,7,"PB",-0.004073151,0.822795704
8,7,"PP",-0.004073151,0.822795704
23,8,"DM",-0.02447389,1.160430267
5,8,"DO",-0.02447389,1.160430267
2,8,"PB",-0.02447389,1.160430267
8,8,"PP",-0.02447389,1.160430267
22,9,"DM",-0.147728258,1.356205784
2,9,"DO",-0.147728258,1.356205784
1,9,"PB",-0.147728258,1.356205784
4,9,"PP",-0.147728258,1.356205784
NA,10,"DM",-0.133825302,1.254177638
NA,10,"DO",-0.133825302,1.254177638
NA,10,"PB",-0.133825302,1.254177638
NA,10,"PP",-0.133825302,1.254177638
19,11,"DM",-0.17875623,1.154217663
4,11,"DO",-0.17875623,1.154217663
2,11,"PB",-0.17875623,1.154217663
0,11,"PP",-0.17875623,1.154217663
24,12,"DM",-0.154508844,-0.175219906
2,12,"DO",-0.154508844,-0.175219906
0,12,"PB",-0.154508844,-0.175219906
0,12,"PP",-0.154508844,-0.175219906
24,13,"DM",-0.190622904,-0.652855559
2,13,"DO",-0.190622904,-0.652855559
0,13,"PB",-0.190622904,-0.652855559
0,13,"PP",-0.190622904,-0.652855559
22,14,"DM",-0.176258931,-1.472242699
1,14,"DO",-0.176258931,-1.472242699
0,14,"PB",-0.176258931,-1.472242699
0,14,"PP",-0.176258931,-1.472242699
28,15,"DM",-0.252316532,-1.266675088
2,15,"DO",-0.252316532,-1.266675088
0,15,"PB",-0.252316532,-1.266675088
0,15,"PP",-0.252316532,-1.266675088
31,16,"DM",-0.203573778,-1.182691976
6,16,"DO",-0.203573778,-1.182691976
0,16,"PB",-0.203573778,-1.182691976
0,16,"PP",-0.203573778,-1.182691976
NA,17,"DM",-0.232526541,-0.868620159
NA,17,"DO",-0.232526541,-0.868620159
NA,17,"PB",-0.232526541,-0.868620159
NA,17,"PP",-0.232526541,-0.868620159
20,18,"DM",-0.180925618,-0.734347804
1,18,"DO",-0.180925618,-0.734347804
0,18,"PB",-0.180925618,-0.734347804
2,18,"PP",-0.180925618,-0.734347804
31,19,"DM",-0.183774496,-0.577600355
1,19,"DO",-0.183774496,-0.577600355
0,19,"PB",-0.183774496,-0.577600355
4,19,"PP",-0.183774496,-0.577600355
16,20,"DM",-0.189873604,-0.39370792
2,20,"DO",-0.189873604,-0.39370792
0,20,"PB",-0.189873604,-0.39370792
7,20,"PP",-0.189873604,-0.39370792
16,21,"DM",-0.152887386,0.504441413
1,21,"DO",-0.152887386,0.504441413
2,21,"PB",-0.152887386,0.504441413
6,21,"PP",-0.152887386,0.504441413
14,22,"DM",-0.173160916,0.4384153
1,22,"DO",-0.173160916,0.4384153
1,22,"PB",-0.173160916,0.4384153
8,22,"PP",-0.173160916,0.4384153
16,23,"DM",-0.157635487,1.288297603
4,23,"DO",-0.157635487,1.288297603
1,23,"PB",-0.157635487,1.288297603
8,23,"PP",-0.157635487,1.288297603
17,24,"DM",-0.169892443,0.53014758
2,24,"DO",-0.169892443,0.53014758
1,24,"PB",-0.169892443,0.53014758
1,24,"PP",-0.169892443,0.53014758
21,25,"DM",-0.123152202,-0.316408819
2,25,"DO",-0.123152202,-0.316408819
0,25,"PB",-0.123152202,-0.316408819
0,25,"PP",-0.123152202,-0.316408819
24,26,"DM",-0.026822392,-1.08162752
0,26,"DO",-0.026822392,-1.08162752
0,26,"PB",-0.026822392,-1.08162752
0,26,"PP",-0.026822392,-1.08162752
23,27,"DM",0.093825225,-1.134480453
2,27,"DO",0.093825225,-1.134480453
0,27,"PB",0.093825225,-1.134480453
0,27,"PP",0.093825225,-1.134480453
NA,28,"DM",0.059285315,-1.153838403
NA,28,"DO",0.059285315,-1.153838403
NA,28,"PB",0.059285315,-1.153838403
NA,28,"PP",0.059285315,-1.153838403
19,29,"DM",-0.024630987,-0.735187857
5,29,"DO",-0.024630987,-0.735187857
0,29,"PB",-0.024630987,-0.735187857
0,29,"PP",-0.024630987,-0.735187857
24,30,"DM",-0.118398381,-0.757346738
4,30,"DO",-0.118398381,-0.757346738
0,30,"PB",-0.118398381,-0.757346738
2,30,"PP",-0.118398381,-0.757346738
14,31,"DM",-0.191679001,0.227756721
3,31,"DO",-0.191679001,0.227756721
1,31,"PB",-0.191679001,0.227756721
1,31,"PP",-0.191679001,0.227756721
11,32,"DM",-0.24155947,0.683702311
2,32,"DO",-0.24155947,0.683702311
1,32,"PB",-0.24155947,0.683702311
3,32,"PP",-0.24155947,0.683702311
NA,33,"DM",-0.312308531,1.348167752
NA,33,"DO",-0.312308531,1.348167752
NA,33,"PB",-0.312308531,1.348167752
NA,33,"PP",-0.312308531,1.348167752
NA,34,"DM",-0.307113179,1.154593106
NA,34,"DO",-0.307113179,1.154593106
NA,34,"PB",-0.307113179,1.154593106
NA,34,"PP",-0.307113179,1.154593106
2,35,"DM",-0.197986536,1.166595941
0,35,"DO",-0.197986536,1.166595941
0,35,"PB",-0.197986536,1.166595941
1,35,"PP",-0.197986536,1.166595941
7,36,"DM",-0.056667982,0.693690378
1,36,"DO",-0.056667982,0.693690378
0,36,"PB",-0.056667982,0.693690378
7,36,"PP",-0.056667982,0.693690378
14,37,"DM",-0.01427477,-0.253863641
1,37,"DO",-0.01427477,-0.253863641
0,37,"PB",-0.01427477,-0.253863641
11,37,"PP",-0.01427477,-0.253863641
5,38,"DM",-0.071367902,-0.730241401
1,38,"DO",-0.071367902,-0.730241401
1,38,"PB",-0.071367902,-0.730241401
