xUTM,yUTM,Forest,Bird,Zones
1393511.589,11908202.87,3,0,1
1533511.589,11948202.87,4,0,1
1283511.589,12098202.87,5,0,1
1153511.589,11758202.87,6,0,1
1233511.589,12218202.87,7,0.080039631,1
1373511.589,11898202.87,14,0,1
1133511.589,11748202.87,15,0,1
1403511.589,11918202.87,18,0,1
1333511.589,11788202.87,30,0,1
1353511.589,11868202.87,35,0,1
1143511.589,11768202.87,37,0,1
1153511.589,11738202.87,52,0,1
1153511.589,11748202.87,53,0,1
1143511.589,11758202.87,63,0,1
1603511.589,11988202.87,63,0,1
1383511.589,11908202.87,71,0,1
1273511.589,12118202.87,71,0,1
1133511.589,11738202.87,72,0,1
1293511.589,12008202.87,73,0.076961041,1
1133511.589,11788202.87,85,0,1
1093511.589,11748202.87,87,0,1
1153511.589,11778202.87,88,0,1
1393511.589,11818202.87,95,0,1
1243511.589,12148202.87,97,0.245124197,1
1163511.589,11748202.87,99,0,1
1133511.589,11728202.87,105,0,1
1113511.589,11748202.87,111,0,1
1143511.589,11748202.87,122,0,1
1363511.589,11908202.87,122,0,1
1113511.589,11728202.87,125,0,1
1393511.589,11918202.87,128,0,1
1193511.589,11958202.87,129,0,1
1183511.589,11748202.87,130,0,1
1143511.589,11728202.87,132,0.039220713,1
1283511.589,12108202.87,136,0.336472237,1
1713511.589,12168202.87,137,0,1
1083511.589,11718202.87,138,0,1
1413511.589,11868202.87,138,0,1
1523511.589,11958202.87,143,0,1
1143511.589,11778202.87,149,0,1
1343511.589,11808202.87,155,0,1
1083511.589,11738202.87,156,0,1
1123511.589,11738202.87,162,0,1
1123511.589,11718202.87,177,0,1
1123511.589,11728202.87,180,0,1
1653511.589,12138202.87,180,0,1
1363511.589,11918202.87,181,0,1
1373511.589,11918202.87,188,0,1
1413511.589,11818202.87,192,0,1
1383511.589,11928202.87,192,0,1
1223511.589,11778202.87,209,0,1
1363511.589,11898202.87,209,0,1
1153511.589,11828202.87,218,0,1
1413511.589,11928202.87,223,0.019802627,1
1083511.589,11728202.87,226,0,1
1193511.589,11928202.87,230,0,1
1103511.589,11738202.87,235,0,1
1393511.589,11858202.87,238,0,1
1323511.589,11788202.87,241,0,1
1113511.589,11738202.87,246,0,1
1273511.589,12138202.87,256,0.538999001,1
1193511.589,11758202.87,259,0,1
1223511.589,12068202.87,261,0.364643114,1
1373511.589,11998202.87,274,0.133533893,1
1373511.589,11908202.87,277,0,1
1163511.589,11768202.87,279,0,1
1193511.589,11938202.87,280,0.039220713,1
1613511.589,11978202.87,293,0,1
1723511.589,12168202.87,300,0,1
1133511.589,11708202.87,305,0,1
1093511.589,11728202.87,321,0,1
1173511.589,11758202.87,321,0,1
1363511.589,11888202.87,326,0,1
1653511.589,12128202.87,328,0.083384809,1
1333511.589,11808202.87,330,0,1
1373511.589,11928202.87,330,0,1
1343511.589,11848202.87,332,0,1
1233511.589,12228202.87,333,0.417736176,1
1353511.589,11918202.87,340,0,1
1123511.589,11688202.87,342,0,1
1563511.589,12178202.87,342,0.457424847,1
1133511.589,11718202.87,349,0,1
1663511.589,12028202.87,350,0.09531018,1
1243511.589,11888202.87,351,0,1
1223511.589,12218202.87,351,0.246860078,1
1353511.589,11908202.87,361,0,1
1233511.589,11888202.87,378,0,1
1383511.589,11918202.87,381,0.016532581,1
1223511.589,11888202.87,399,0.039220713,1
1383511.589,11818202.87,406,0.056087285,1
1353511.589,11898202.87,415,0,1
1613511.589,11988202.87,418,0.080039631,1
1203511.589,11948202.87,421,0,1
1593511.589,11978202.87,428,0,1
1353511.589,11858202.87,436,0,1
1383511.589,11858202.87,436,0,1
1173511.589,11768202.87,437,0,1
1243511.589,11858202.87,447,0,1
1693511.589,12118202.87,456,0.040825195,1
1543511.589,12168202.87,466,0.074105115,1
1243511.589,11898202.87,476,0.071455171,1
1473511.589,12208202.87,482,0.610911654,1
1323511.589,12048202.87,487,0,1
1193511.589,11948202.87,499,0,1
1183511.589,11768202.87,506,0,1
1373511.589,11818202.87,509,0,1
1293511.589,12098202.87,524,0.262364264,1
1273511.589,11898202.87,537,0,1
1353511.589,11848202.87,539,0,1
1383511.589,11938202.87,539,0,1
1283511.589,11908202.87,557,0.23733044,1
1233511.589,11858202.87,558,0,1
1253511.589,11868202.87,559,0,1
1403511.589,11858202.87,570,0,1
1323511.589,11848202.87,572,0,1
