longitude	latitude	pollinator
-117.5572639	34.84501986	synthetica
-117.9841391	34.90812414	synthetica
-118.0419244	34.91756937	synthetica
-117.7417834	34.92626405	synthetica
-117.6216705	34.89128985	synthetica
-117.587595	34.89158095	synthetica
-117.8107964	34.82906469	synthetica
-117.5380242	34.87773062	synthetica
-117.9309502	34.94580129	synthetica
-117.7312221	34.84146073	synthetica
-118.0287126	34.92047274	synthetica
-117.6070939	34.87817345	synthetica
-118.0087466	34.91276369	synthetica
-117.7985106	34.84429988	synthetica
-117.699882	34.8295498	synthetica
-118.000605	34.90375873	synthetica
-117.6604758	34.89384528	synthetica
-117.6992283	34.86791939	synthetica
-117.593092	34.92218905	synthetica
-117.7352953	34.86463947	synthetica
-117.608614	34.92013619	synthetica
-117.4926288	35.23640506	synthetica
-117.4931288	35.23567173	synthetica
-117.4927121	35.23207173	synthetica
-117.4854954	35.23625506	synthetica
-117.4890288	35.23917173	synthetica
-117.4920288	35.23685506	synthetica
-117.4856788	35.23247173	synthetica
-117.4844788	35.23497173	synthetica
-117.4838954	35.23492173	synthetica
-117.4849454	35.23523839	synthetica
-115.4151776	36.4262032	antithetica
-115.4204669	36.42535521	antithetica
-115.4284508	36.43444018	antithetica
-115.4364138	36.44817443	antithetica
-115.4497843	36.46669014	antithetica
-115.4668006	36.47686108	antithetica
-115.4925118	36.49174868	antithetica
-115.5056033	36.49931243	antithetica
-115.5127836	36.50346599	antithetica
-115.5597889	36.53064247	antithetica
-115.5983479	36.55290414	antithetica
-115.6147901	36.56238851	antithetica
-117.0904489	37.33545974	synthetica
-117.0994199	37.34428345	synthetica
-117.1203417	37.34901596	synthetica
-117.1289921	37.34135414	synthetica
-117.1392322	37.33226858	synthetica
-117.1537359	37.31938216	synthetica
-117.1667398	37.31370853	synthetica
-117.177013	37.31114283	synthetica
-117.1853263	37.30907694	synthetica
-117.2016559	37.30498272	synthetica
-117.224739	37.30194621	synthetica
-117.2386396	37.29483274	synthetica
-117.2442017	37.29449872	synthetica
-117.2475069	37.29464725	synthetica
-117.2543206	37.29702201	synthetica
-117.2594917	37.29921371	synthetica
-117.262906	37.29882336	synthetica
-117.2656151	37.29961436	synthetica
-117.2803907	37.29451213	synthetica
-117.2801412	37.28584667	synthetica
-117.2776459	37.28327426	synthetica
-117.2706115	37.27827353	synthetica
-117.2548258	37.26578517	synthetica
-117.237105	37.25625184	synthetica
-117.2304648	37.25033665	synthetica
-117.2097553	37.23611533	synthetica
-117.1999552	37.23095668	synthetica
-117.1914261	37.22781347	synthetica
-117.1314068	37.3757326	synthetica
-117.1524005	37.4098933	synthetica
-117.1628519	37.4363983	synthetica
-117.1923817	37.49596371	synthetica
-117.2280992	37.46598424	synthetica
-117.3435444	37.3877914	synthetica
-117.1942251	37.5374113	synthetica
-117.2026788	37.57436426	synthetica
-117.2170581	37.61356173	synthetica
-117.2166224	37.64839047	synthetica
-117.3567314	37.82602672	synthetica
-117.4127453	37.77401442	synthetica
-117.4013957	37.75813993	synthetica
-117.3837334	37.73135723	synthetica
-117.3694578	37.73680177	synthetica
-117.3615755	37.7312947	synthetica
-117.356014	37.72869019	synthetica
-117.350316	37.72852288	synthetica
-117.3208099	37.44496385	synthetica
-117.3676511	37.44462514	synthetica
-117.426852	37.44265925	synthetica
-117.4780427	37.45034579	synthetica
-117.6856485	37.43986431	synthetica
-117.5365897	37.36718717	synthetica
-117.7297061	37.46211566	synthetica
-117.7627445	37.46201516	synthetica
-117.7942935	37.45403911	synthetica
-117.8137505	37.46047373	synthetica
-118.0131826	37.17775825	synthetica
-117.998888	37.19053999	synthetica
-117.9872607	37.22130626	synthetica
-117.9686192	37.23196603	synthetica
-117.9534138	37.23054597	synthetica
-117.9474605	37.23565441	synthetica
-117.9293148	37.25480697	synthetica
-117.9268854	37.26077614	synthetica
-117.9999927	36.26943379	synthetica
-117.9927176	36.2543125	synthetica
-117.982271	36.23191932	synthetica
-117.9791516	36.19517457	synthetica
-117.9743156	36.13729761	synthetica
-117.9354167	36.00605335	synthetica
-117.9294284	35.98999312	synthetica
-117.9533436	35.49106344	synthetica
-117.9644489	35.46640681	synthetica
-117.9788555	35.42448514	synthetica
-117.9844067	35.40313694	synthetica
-118.1093666	35.31591427	synthetica
-118.1075382	35.3301977	synthetica
-118.1153396	35.35619057	synthetica
-118.1167021	35.37271172	synthetica
-118.1204093	35.37563918	synthetica
-118.1548674	35.37143717	synthetica
-118.1959418	35.38371783	synthetica
-118.215755	35.39196755	synthetica
-118.2257203	35.41463154	synthetica
-118.2277761	35.44526363	synthetica
-118.2119453	35.46106511	synthetica
-118.2125919	35.47968894	synthetica
-118.2230358	35.47470682	synthetica
-118.2248584	35.4685224	synthetica
-118.2267348	35.46940477	synthetica
-118.2347352	35.46762872	synthetica
-118.2411832	35.46559393	synthetica
-118.2045839	35.48575476	synthetica
-118.203567	35.50738191	synthetica
-118.2033451	35.53655035	synthetica
-118.2424569	35.56441464	synthetica
-118.2402515	35.59516416	synthetica
-118.25321	35.61643039	synthetica
-118.1915884	35.69566435	synthetica
-118.1703909	35.72158656	synthetica
-118.0931716	35.74860252	synthetica
-118.0596824	35.69860447	synthetica
-118.0262183	35.66262783	synthetica
-117.9545464	35.62376581	synthetica
-118.0636507	35.20263469	synthetica
-118.0830635	35.17778872	synthetica
-118.1183368	35.1254237	synthetica
-118.1042868	35.12546158	synthetica
-118.1359468	35.12539713	synthetica
-118.1730676	35.12371505	synthetica
-118.196006	35.11647786	synthetica
-118.2190419	35.11813505	synthetica
-118.2477293	35.10746212	synthetica
-118.2791802	35.10279977	synthetica
-118.2993397	35.09799375	synthetica
-118.181524	35.08085066	synthetica
-118.1614693	35.01069036	synthetica
-118.160603	34.96173267	synthetica
-118.1740534	34.95163164	synthetica
-118.2270314	34.95088397	synthetica
-118.2598505	34.95096587	synthetica
-118.2848532	34.94933575	synthetica
-118.3080708	34.97462479	synthetica
-118.3298858	34.99664296	synthetica
-118.3459672	35.01358564	synthetica
-118.3521005	35.03059026	synthetica
-118.291569	34.93162605	synthetica
-118.2912024	34.89758362	synthetica
-118.2910708	34.87120963	synthetica
-118.3114347	34.77638013	synthetica
-118.3677822	34.77555853	synthetica
-118.795415	34.74800487	synthetica
-118.4748069	34.77464482	synthetica
-118.3697126	34.77550732	synthetica
-118.3119058	34.77632003	synthetica
-118.1218158	34.60181501	synthetica
-118.0688366	34.60213914	synthetica
-118.0462385	34.60201844	synthetica
-118.0356534	34.63136029	synthetica
-117.9997672	34.63109836	synthetica
-117.9786485	34.63124772	synthetica
-117.9698533	34.65917623	synthetica
-117.9697398	34.69132753	synthetica
-117.9699174	34.73469105	synthetica
-117.9586932	34.73421974	synthetica
-117.9460398	34.70477085	synthetica
-117.9163289	34.70566813	synthetica
-117.8806969	34.71979868	synthetica
-117.8807167	34.73696347	synthetica
-117.8805915	34.76380149	synthetica
-117.8422595	34.73461495	synthetica
-117.8121347	34.73492843	synthetica
-117.7920708	34.74284187	synthetica
-117.7920518	34.75075128	synthetica
-117.7742319	34.73275173	synthetica
-117.7741194	34.7079926	synthetica
-117.7741399	34.74687482	synthetica
-117.7862561	34.70502172	synthetica
-117.8115827	34.69007494	synthetica
-117.8385973	34.61648116	synthetica
-117.8676763	34.61656992	synthetica
-117.8714413	34.59628656	synthetica
-117.8305167	34.58723561	synthetica
-117.8337262	34.54686685	synthetica
-117.8354575	34.51579086	synthetica
-117.8353602	34.48819429	synthetica
-117.8234668	34.46576758	synthetica
-117.8150726	34.45880591	synthetica
-117.8276875	34.44955061	synthetica
-117.835225	34.43900534	synthetica
-117.8291749	34.43292326	synthetica
-117.8205829	34.42868118	synthetica
-117.8145125	34.4294436	synthetica
-117.8030202	34.42325734	synthetica
-117.7824902	34.41626876	synthetica
-117.6056688	34.35997967	synthetica
-117.606782	34.37720951	synthetica
-117.5940178	34.38302747	synthetica
-117.572414	34.41937174	synthetica
-117.5628828	34.42636174	synthetica
-117.546388	34.42645235	synthetica
-117.5040714	34.4265826	synthetica
-117.469778	34.42649434	synthetica
-117.4303482	34.42669853	synthetica
-117.2509381	34.38082437	synthetica
-117.248091	34.35650176	synthetica
-117.2073492	34.42350997	synthetica
-117.1864214	34.42080504	synthetica
-117.1444249	34.42104661	synthetica
-117.1331517	34.414815	synthetica
-117.1254531	34.4029826	synthetica
-117.1252945	34.39535867	synthetica
-117.1211422	34.3880463	synthetica
-117.1166673	34.38409348	synthetica
-117.1099631	34.37651968	synthetica
-117.1063687	34.37338099	synthetica
-117.1023405	34.36455082	synthetica
-117.0855439	34.34787419	synthetica
-117.0658025	34.3447992	synthetica
-117.0686439	34.33582352	synthetica
-116.80373	34.29376565	synthetica
-116.8080563	34.31116212	synthetica
-116.8170281	34.31858773	synthetica
-116.8308118	34.33129881	synthetica
-116.8380972	34.33726982	synthetica
-116.846871	34.35206975	synthetica
-116.8583469	34.36512817	synthetica
-116.8619541	34.37425178	synthetica
-116.8847462	34.39354592	synthetica
-116.912967	34.41854117	synthetica
-117.3995016	34.47367867	synthetica
-117.3994241	34.52577866	synthetica
-117.4082407	34.5680522	synthetica
-117.4236671	34.61280125	synthetica
-117.442296	34.66776734	synthetica
-117.5023404	34.72491985	synthetica
-117.5332656	34.72503007	synthetica
-117.5460296	34.72625098	synthetica
-117.5622392	34.72496302	synthetica
-117.5806914	34.72345754	synthetica
-117.5996589	34.71948519	synthetica
-117.6141796	34.70372177	synthetica
-117.6141216	34.6822216	synthetica
-117.6070205	34.66793758	synthetica
-117.4467695	34.72753081	synthetica
-117.417005	34.7289378	synthetica
-117.358706	34.73239014	synthetica
-117.1890802	35.02064094	synthetica
-117.1534646	34.98256396	synthetica
-117.1298161	34.99450625	synthetica
-117.1054655	34.99431799	synthetica
-117.0897469	34.98524969	synthetica
-117.0618707	34.97836354	synthetica
-117.0442046	34.97866906	synthetica
-117.0127101	34.97800832	synthetica
-116.9856453	34.98979243	synthetica
-116.9888561	34.96955165	synthetica
-117.0123279	34.97110272	synthetica
-114.1636826	34.79145582	antithetica
-114.1794142	34.7807191	antithetica
-114.1995862	34.76629276	antithetica
-114.1724592	34.75819886	antithetica
-114.1603601	34.74816371	antithetica
-114.1338376	34.72292647	antithetica
-114.1118609	34.69987028	antithetica
-114.0943211	34.68143487	antithetica
-114.0889835	34.66675162	antithetica
-114.067909	34.65363914	antithetica
-114.0673567	34.63318461	antithetica
-114.0634596	34.5899495	antithetica
-114.0409735	34.6994081	antithetica
-114.0409618	34.74347621	antithetica
-114.0497429	34.77941966	antithetica
-114.0345928	34.80122912	antithetica
-114.0056635	34.79314142	antithetica
-113.9920142	34.77430703	antithetica
-113.9533493	34.74958578	antithetica
-113.9203664	34.72057115	antithetica
