Habitat_type;Sampling_regime;PlotIDYear;Exploratory;PlotID;CollectionYear;biomass;abundance_unidentified_identified;abundance_identified;species;abundance_carnivore;species_carnivore;biomass_carnivore;abundance_herbivore;species_herbivore;biomass_herbivore;abundance_detritomycetophage;species_detritomycetophage;biomass_detritomycetophage;abundance_omnivore;species_omnivore;biomass_omnivore;abundance_weak_disperser;species_weak_disperser;biomass_weak_disperser;abundance_strong_disperser;species_strong_disperser;biomass_strong_disperser;landuse_intensity;mean_winter_temperature;precipitation_sum_growing_preriod;grassland_cover_250;grassland_cover_500;grassland_cover_1000;grassland_cover_1500;arable_cover_1000;arable_cover_1500;arable_cover_250;arable_cover_500
grassland;annual;AEG01_2008;ALB;AEG1;2008;16939.5207628439;499;472;47;16;10;424.242097002714;451;34;16345.534121757;2;1;5.10561464354634;3;2;164.638929440635;85;3;16939.5207628439;9;2;7785.99574125612;2.06;1.23441157024793;659.4;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2009;ALB;AEG1;2009;9684.50502913711;561;205;30;3;3;117.929419794604;200;25;9456.79897396784;0;0;0;2;2;109.776635374668;65;6;9684.50502913711;4;3;5286.25116322687;2.06;-0.85554841666667;664.43;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2010;ALB;AEG1;2010;4342.72084002645;1447;160;27;21;5;1049.10250551363;137;20;3253.83623677224;1;1;16.8613595942696;1;1;22.920738146307;18;4;4342.72084002645;15;3;1378.90707347172;2.06;-0.88724;681.09;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2011;ALB;AEG1;2011;4159.45012351404;800;103;29;14;5;889.231469831947;89;24;3270.21865368209;0;0;0;0;0;0;13;5;4159.45012351404;5;2;585.089222714374;2.06;-0.87160108333333;563.3;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2012;ALB;AEG1;2012;3964.87367224072;352;107;23;9;5;178.350014062142;98;18;3786.52365817858;0;0;0;0;0;0;16;2;3964.87367224072;2;1;1095.5346103003;2.06;-0.336074049586777;583.57;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2013;ALB;AEG1;2013;1796.74812420749;902;106;28;7;5;384.111897817682;99;23;1412.63622638981;0;0;0;0;0;0;19;2;1796.74812420749;18;1;230.892189491806;2.06;-0.3986075;801.53;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2014;ALB;AEG1;2014;192.584421667775;436;24;9;1;1;1.00270897364849;22;7;189.827062611757;0;0;0;1;1;1.75465008237019;2;2;192.584421667775;0;0;64.3554338291704;2.06;1.44109425;801.85;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2015;ALB;AEG1;2015;1453.97813199028;409;66;18;3;3;30.0016865892121;63;15;1423.97644540107;0;0;0;0;0;0;5;3;1453.97813199028;4;2;693.110200487845;2.06;0.704024;637.45;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2016;ALB;AEG1;2016;2764.87369912446;399;47;26;6;5;110.882026024913;39;19;2593.54947590852;1;1;0.606500861914825;1;1;59.8356963291091;11;5;2764.87369912446;4;2;1007.94739485918;2.06;2.25704198347107;780.71;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG01_2017;ALB;AEG1;2017;1713.54123184749;256;89;21;4;3;53.813689975882;85;18;1659.72754187161;0;0;0;0;0;0;7;4;1713.54123184749;5;2;761.548807007759;2.06;-0.67460441666667;681.5;79.69;54.93;44.38;33.13;7.25;14.57;11.69;3.97
grassland;annual;AEG02_2008;ALB;AEG2;2008;9296.38728126018;1241;499;40;5;4;275.659463004416;489;33;8907.8149488909;1;1;3.02310542501877;4;2;109.889763939846;34;8;9296.38728126018;12;3;1339.32066213508;3.28;1.22671123966942;648.33;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG02_2009;ALB;AEG2;2009;9812.69091863991;1202;609;36;7;7;627.392563258841;601;28;9162.37761723476;0;0;0;1;1;22.920738146307;19;6;9812.69091863991;4;2;1077.90135724055;3.28;-0.75705875;787.09999;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG02_2010;ALB;AEG2;2010;190.609638240447;214;12;8;0;0;0;12;8;190.609638240447;0;0;0;0;0;0;3;2;190.609638240447;2;1;38.0382076211886;3.28;-0.79059725;698.56;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG02_2011;ALB;AEG2;2011;1986.23423942029;407;175;15;2;2;50.2343055499001;173;13;1935.99993387039;0;0;0;0;0;0;0;0;1986.23423942029;0;0;0;3.28;-0.543979;586.46;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG02_2012;ALB;AEG2;2012;1331.62848491558;566;78;15;0;0;0;70;13;1168.63051056965;0;0;0;8;2;162.997974345922;6;2;1331.62848491558;1;1;325.436352828565;3.28;-0.247100330578512;583.43;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG02_2013;ALB;AEG2;2013;1427.46941898271;298;57;22;7;5;890.275042854327;50;17;537.194376128382;0;0;0;0;0;0;5;4;1427.46941898271;3;2;94.632556990429;3.28;-0.070628583333333;797.7;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG02_2014;ALB;AEG2;2014;2585.77076991327;1220;92;23;12;5;79.3009184548868;75;16;2412.91191115198;0;0;0;5;2;93.5579403063994;15;3;2585.77076991327;0;0;827.093564444775;3.28;1.87286108333333;769.9;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG02_2015;ALB;AEG2;2015;1670.8430238638;295;73;22;4;4;350.647135161146;69;18;1320.19588870266;0;0;0;0;0;0;14;6;1670.8430238638;6;4;810.014753629575;3.28;1.0678125;579.35;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG02_2016;ALB;AEG2;2016;2214.26814133712;324;29;16;3;2;28.5500469198974;25;13;2089.24299959938;0;0;0;1;1;96.475094817846;6;4;2214.26814133712;4;3;1332.26961862526;3.28;3.15500016528926;716.69;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
