"HaulIndex","SampleDate","Lat_MP","Long_MP","Season","av_depth","log_depth","caisom_floor_temperature","Bathyraja.eatonii","Bathyraja.murrayi","Champsocephalus.gunnari","Channichthys.rhinoceratus","Dissostichus.eleginoides","Gobionotothen.acuta","Lepidonotothen.mizops","Lepidonotothen.squamifrons","Lycodapus.antarcticus","Macrourus.holotrachys","Melanostigma.gelatinosum","Muraenolepis.sp.","Paradiplospinus.gracilis","Paraliparis.operculosus","Zanclorhynchus.spinifer"
"FIOG00500","24/01/1992",-52.9167,74.13515,"summer",149,5.003946306,3.27727294,0,0,0,12,6,0,0,5,0,0,0,0,3,0,1
"FIOG00700","24/01/1992",-53.18365,72.96185,"summer",241,5.484796933,2.94414711,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"FIOG00800","25/01/1992",-52.67965,72.94195,"summer",215,5.370638028,3.16621089,1,0,78,39,2,0,0,0,0,0,0,0,2,0,0
"FIOG00900","25/01/1992",-52.525,73.1583,"summer",228,5.429345629,3.109005928,4,0,2,8,2,0,0,0,0,0,0,0,1,0,0
"FIOG01000","25/01/1992",-52.6901,74.00475,"summer",200,5.298317367,3.366889,2,2,7,15,6,0,1,0,0,0,0,0,1,0,0
"FIOG01100","26/01/1992",-52.8526,74.1231,"summer",170,5.135798437,3.27727294,0,1,1,5,1,0,0,0,0,0,0,0,2,0,1
"FIOG01200","26/01/1992",-52.70795,74.2139,"summer",190,5.247024072,3.349498034,1,0,1097,32,1,0,0,1,0,0,0,0,2,0,1
"FIOG01300","26/01/1992",-52.70785,74.45925,"summer",185,5.220355825,3.233319044,1,0,1,74,9,1,0,33,0,0,0,0,0,0,0
"FIOG01400","26/01/1992",-52.6764,75.0212,"summer",461.5,6.134482054,2.767333031,1,0,0,5,16,0,0,1,0,29,0,0,2,0,0
"FIOG01500","26/01/1992",-52.6159,75.1342,"summer",248,5.513428746,2.840255022,6,3,9,5,1,0,0,0,0,0,0,0,0,0,0
"FIOG01600","26/01/1992",-52.5825,75.24955,"summer",306,5.723585102,2.784256935,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"FIOG01700","27/01/1992",-52.67085,75.1588,"summer",759,6.632001777,2.650562048,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
"FIOG01900","28/01/1992",-52.74075,75.09655,"summer",356,5.874930731,2.709958076,0,0,0,46,10,0,0,17,0,2,0,0,0,0,0
"FIOG02100","28/01/1992",-52.6019,75.07335,"summer",256,5.545177444,2.840255022,0,0,47,10,6,0,0,1,0,0,0,0,0,0,0
"FIOG02200","29/01/1992",-52.5782,75.00135,"summer",329.5,5.797576354,2.899653912,2,0,1,5,11,0,0,1,0,45,0,1,0,0,0
"FIOG02300","29/01/1992",-52.50655,75.0741,"summer",209.5,5.344723739,2.953105927,9,0,716,250,3,1,0,0,0,0,0,0,0,0,0
"FIOG02400","29/01/1992",-52.18815,74.9085,"summer",274,5.613128106,3.04522109,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0
"FIOG02500","29/01/1992",-52.19905,75.4311,"summer",433.5,6.071891796,2.9199121,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0
"FIOG02600","29/01/1992",-51.78975,76.17135,"summer",268,5.590986981,2.334691048,0,0,4,3,6,0,0,102,0,0,0,0,0,0,0
"FIOG02700","30/01/1992",-51.7379,76.604,"summer",229.5,5.43590303,1.413938999,0,0,1,32,6,0,0,1355,0,0,0,0,0,0,6
"FIOG02800","30/01/1992",-51.54375,76.03205,"summer",232.5,5.448890225,2.169011116,6,0,3,5,17,0,0,785,0,0,0,0,0,0,2
"FIOG02900","30/01/1992",-51.64195,76.03035,"summer",235,5.459585514,2.391196012,1,0,1,17,10,0,0,40,0,0,0,0,0,0,14
"FIOG03000","30/01/1992",-51.594,75.91705,"summer",253.5,5.535363823,2.459621906,3,0,3,146,6,0,0,382,0,0,0,0,0,0,3
"FIOG03100","30/01/1992",-51.37,75.82115,"summer",243.5,5.495116943,2.153996944,0,1,72,31,5,0,0,6,0,0,0,0,0,0,0
"FIOG03200","30/01/1992",-51.48765,75.6799,"summer",342,5.834810737,2.372246027,0,0,0,19,1,0,0,2,0,0,0,0,2,0,0
"FIOG03300","31/01/1992",-51.5277,75.4465,"summer",358,5.880532986,2.354579926,0,1,0,2,4,0,0,0,1,0,0,0,2,0,0
"FIOG03400","31/01/1992",-51.3245,75.5387,"summer",518.5,6.250940028,2.240519047,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"FIOG03500","31/01/1992",-51.27075,75.60145,"summer",373,5.92157842,2.226341963,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0
"FIOG03700","1/02/1992",-51.1212,74.2216,"summer",437,6.079933195,2.601819992,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0
"FIOG03800","1/02/1992",-51.2656,72.98325,"summer",255.5,5.54322241,2.897814989,0,0,0,4,2,0,1,6,0,0,0,1,1,0,0
"FIOG03900","3/02/1992",-51.2695,72.6139,"summer",291,5.673323267,2.896548033,0,0,6,9,9,0,0,2,0,0,0,0,15,0,0
"FIOG04000","3/02/1992",-51.10125,72.5746,"summer",380,5.940171253,2.874706984,0,0,0,2,1,0,0,0,0,0,0,0,4,2,0
"FIOG04100","3/02/1992",-51.28725,71.97465,"summer",251,5.525452939,2.847805023,0,0,0,7,5,0,0,16,0,0,0,0,1,0,1
"FIOG04200","3/02/1992",-51.349,71.77375,"summer",308.5,5.731721843,2.804008007,0,0,0,7,5,0,0,1,0,0,0,0,4,0,0
"FIOG04300","5/02/1992",-51.2942,71.9255,"summer",250,5.521460918,2.825906038,0,0,0,37,2,0,0,6,0,0,0,0,0,0,1
"FIOG04400","5/02/1992",-51.882,71.3271,"summer",268.5,5.592850914,1.687921047,0,0,0,14,6,0,0,2,0,0,0,0,0,0,1
"FIOG04500","5/02/1992",-52.024,71.40015,"summer",280.5,5.636573725,1.918005943,0,0,0,8,3,0,0,2,0,0,0,0,0,0,4
"FIOG04600","6/02/1992",-52.08675,71.6012,"summer",489,6.192362489,2.084722042,0,0,0,4,0,0,0,1,0,1,0,0,1,0,1
"FIOG04700","6/02/1992",-52.4024,71.7819,"summer",277,5.624017506,2.099787951,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"FIOG04800","6/02/1992",-52.41215,72.111,"summer",228.5,5.43153621,2.618603945,1,0,1,63,0,0,1,3,0,0,0,0,0,0,1
"FIOG04900","6/02/1992",-52.538,72.17735,"summer",240,5.480638923,2.729358912,0,0,0,13,3,0,0,4,0,0,0,0,0,0,2
"FIOG05000","8/02/1992",-52.4514,72.4194,"summer",453,6.115892125,2.835061073,0,0,0,0,3,0,0,0,6,38,0,0,10,0,0
"FIOG05100","8/02/1992",-52.6023,72.51615,"summer",294,5.683579767,2.863224983,0,0,0,2,4,0,0,1,0,7,0,1,4,0,0
"FIOG05300","9/02/1992",-52.6749,72.49775,"summer",312,5.743003188,2.866446972,1,0,0,0,1,0,0,1,0,2,0,0,10,0,0
"FIOG05400","9/02/1992",-52.29105,72.87275,"summer",263.5,5.574053368,3.012839079,5,0,24,4,2,0,0,0,0,0,0,0,3,1,4
"FIOG05500","9/02/1992",-51.86215,73.14615,"summer",429,6.061456919,2.906826973,0,3,0,1,0,0,0,0,2,21,1,0,6,1,0
"FIOG05600","9/02/1992",-51.7681,73.36085,"summer",473,6.159095388,2.924855947,0,0,0,0,0,0,0,0,11,16,4,0,5,1,0
"FIOG05700","9/02/1992",-52.3388,73.17415,"summer",255.5,5.54322241,3.061371088,0,2,36,12,2,0,0,0,0,0,0,0,0,0,0
"FIOG05900","10/02/1992",-52.0557,74.21625,"summer",279,5.631211782,3.091985941,3,1,6,12,1,0,0,0,0,0,0,2,5,0,0
"FIOG06000","10/02/1992",-52.23605,74.27195,"summer",251.5,5.52744299,3.158479929,1,1,4,29,0,0,0,0,0,0,0,0,6,0,0
"FIOG06100","10/02/1992",-52.46615,74.62945,"summer",284.5,5.650733254,3.233098984,4,5,91,7,5,0,0,1,0,1,0,0,0,0,0
"FIOG06200","10/02/1992",-52.5133,74.9334,"summer",242,5.488937726,3.060241938,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0
"FIOG06300","10/02/1992",-52.539,74.979,"summer",404,6.001414878,3.003509045,2,0,7,0,4,0,0,0,0,16,0,0,0,0,0
"FIOG06400","11/02/1992",-52.48705,75.002,"summer",216,5.375278408,3.003509045,3,1,453,134,5,0,0,0,0,0,0,0,0,0,0
"FIOG06500","11/02/1992",-52.466,75.04775,"summer",214,5.365976015,3.003509045,4,0,6248,75,3,0,0,0,0,0,0,0,0,0,0
"FIOG06600","11/02/1992",-52.52735,75.18635,"summer",264,5.575949103,2.902703047,4,0,32,18,11,0,0,2,0,0,0,0,0,0,0
"FIOG06700","11/02/1992",-52.564,75.0889,"summer",220,5.393627546,2.840255022,6,1,25465,63,5,1,0,0,0,0,0,0,0,0,0
"FIOG06800","11/02/1992",-52.5304,75.1389,"summer",222,5.402677382,2.953105927,2,0,213,4,9,0,0,1,0,0,0,0,0,0,0
"FIOG06900","11/02/1992",-52.70295,75.00095,"summer",437.5,6.081076706,2.767333031,0,2,0,1,1,0,0,0,0,13,0,0,0,0,0
"FIOG07000","11/02/1992",-52.64855,75.0887,"summer",304,5.717027701,2.840255022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FIOG07100","12/02/1992",-52.73375,75.22075,"summer",419.5,6.039063526,2.650562048,0,1,0,1,2,0,0,0,0,20,0,0,4,0,0
"HIMS01900","23/05/1990",-52.70555,75.1212,"Autumn/Winter",378.5,5.936216073,2.709958076,0,0,52,35,1,0,1,28,0,40,0,1,0,0,0
"HIMS02200","24/05/1990",-52.56265,76.5467,"Autumn/Winter",738,6.603943825,2.138211966,0,0,0,1,1,0,0,0,0,11,0,0,1,7,0
"HIMS02400","24/05/1990",-51.7016,76.53085,"Autumn/Winter",232,5.446737372,1.669402957,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"HIMS02500","25/05/1990",-51.5428,76.0476,"Autumn/Winter",240.5,5.48272009,2.169011116,0,0,0,8,3,0,1,5,0,0,0,0,0,0,0
"HIMS02700","25/05/1990",-51.36625,75.82965,"Autumn/Winter",257,5.549076085,2.153996944,3,0,40,4,4,0,1,7,0,0,0,2,0,0,1
"HIMS03200","28/05/1990",-50.51865,74.1966,"Autumn/Winter",611,6.415096959,2.327613115,0,0,0,0,7,0,0,0,0,4,0,0,5,0,0
"HIMS03400","28/05/1990",-51.0039,72.92465,"Autumn/Winter",459.5,6.130138942,2.833508968,0,0,0,0,5,0,0,0,1,1,0,0,2,0,0
