Nest	Xcoord	Ycoord	FoodTreatment	SexParent	ArrivalTime	SiblingNegotiation	BroodSize	NegPerChick	Date	Day	Month
AutavauxTV	556216	188756	Deprived	Male	22.25	4	5	0.8	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	22.53	2	5	0.4	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	22.56	2	5	0.4	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	22.61	2	5	0.4	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	22.65	2	5	0.4	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	22.76	18	5	3.6	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	22.98	18	5	3.6	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Female	23.28	3	5	0.6	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	23.43	3	5	0.6	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Female	23.45	3	5	0.6	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	23.68	6	5	1.2	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Female	24	0	5	0	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	24.25	0	5	0	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	24.58	7	5	1.4	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	24.65	7	5	1.4	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	27.71	0	5	0	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Female	27.85	7	5	1.4	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Female	28.02	16	5	3.2	12/07/97	12	7
AutavauxTV	556216	188756	Deprived	Male	28.82	5	5	1	12/07/97	12	7
AutavauxTV	556216	188756	Satiated	Male	22.38	0	5	0	13/07/97	13	7
AutavauxTV	556216	188756	Satiated	Female	22.9	4	5	0.8	13/07/97	13	7
AutavauxTV	556216	188756	Satiated	Female	23.07	0	5	0	13/07/97	13	7
AutavauxTV	556216	188756	Satiated	Female	23.18	0	5	0	13/07/97	13	7
AutavauxTV	556216	188756	Satiated	Male	23.38	0	5	0	13/07/97	13	7
AutavauxTV	556216	188756	Satiated	Male	24.21	4	5	0.8	13/07/97	13	7
AutavauxTV	556216	188756	Satiated	Male	24.95	0	5	0	13/07/97	13	7
AutavauxTV	556216	188756	Satiated	Female	25.25	16	5	3.2	13/07/97	13	7
AutavauxTV	556216	188756	Satiated	Male	25.75	7	5	1.4	13/07/97	13	7
Bochet	557402	180194	Deprived	Male	23.22	13	4	3.25	16/06/97	16	6
Bochet	557402	180194	Deprived	Female	23.23	13	4	3.25	16/06/97	16	6
Bochet	557402	180194	Deprived	Male	23.33	22	4	5.5	16/06/97	16	6
Bochet	557402	180194	Deprived	Male	23.46	22	4	5.5	16/06/97	16	6
Bochet	557402	180194	Deprived	Female	23.5	12	4	3	16/06/97	16	6
Bochet	557402	180194	Deprived	Female	23.53	12	4	3	16/06/97	16	6
Bochet	557402	180194	Deprived	Male	23.78	12	4	3	16/06/97	16	6
Bochet	557402	180194	Deprived	Male	26.3	0	4	0	16/06/97	16	6
Bochet	557402	180194	Deprived	Male	26.43	0	4	0	16/06/97	16	6
Bochet	557402	180194	Deprived	Male	27.55	0	4	0	16/06/97	16	6
Bochet	557402	180194	Satiated	Female	22.81	3	4	0.75	17/06/97	17	6
Bochet	557402	180194	Satiated	Male	23.2	2	4	0.5	17/06/97	17	6
